symbol,address,outgoing_volume,rank
USDC,0xec4970ffe0fc02f8e60aa3402fafaa0016f2d4d8,1456460171.4032013,97
USDC,0x0d0707963952f2fba59dd06f2b425ace40b492fe,1450702928.072113,98
USDC,0x387a86d863420ffa2ef88b2524e54513a0ded845,1441164918.1797054,99
USDC,0xf6e65b33370ee6a49eb0dbcaa9f43839c1ac04d5,1432524264.992114,100
DAI,0x334b3ecb4dca3593bccc3c7ebd1a1c1d1780fbf1,79552265281.71808,1
DAI,0xd49cb5b097e9f0b51b3c61c5127a9c35bdec7051,74747288259.6516,2
DAI,0xf8009616c6be7976e19e17c2dacd63028149e7cd,3405581482.1865597,3
DAI,0xf739d76fb14f39a5efe6622215384e8d2bd86e23,2953517863.974153,4
DAI,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,1742932705.1391451,5
DAI,0x631fc1ea2270e98fbd9d92658ece0f5a269aa161,1245765062.254897,6
DAI,0xb3f0c9ea1f05e312093fdb031e789a756659b0ac,981154129.8819522,7
DAI,0xfdb22e3bf935c1c94254f050bbe093563f533534,944177617.3252738,8
DAI,0x3c2c339d05d4911894f08dd975e89630d7ef4234,889333461.0962878,9
DAI,0x9a86fc508a423ae8a243445dba7ed5364118ab1d,737460760.1753135,10
DAI,0x59b76b5d39370ba2aa7e723c639861266e85bfec,702686407.7618667,11
DAI,0xf157a4799be445e3808592edd7e7f72150a7b050,686615791.3976126,12
DAI,0x66fdb2eccfb58cf098eaa419e5efde841368e489,682416891.119275,13
DAI,0xf977814e90da44bfa03b6295a0616a897441acec,646144330.1354531,14
DAI,0x2c85ebae81b7078cd656b2c6e2d58411cb41d91a,586703567.6678196,15
DAI,0xf6e65b33370ee6a49eb0dbcaa9f43839c1ac04d5,584774548.0332227,16
DAI,0x77328e0564d40430222fbc2cfad333c032b01591,570847713.9460797,17
DAI,0xe2fc31f816a9b94326492132018c3aecc4a93ae1,489839024.2570953,18
DAI,0x9bae577cfea4f1be81e5250984787f3e05e00593,471705043.7441698,19
DAI,0xbceea30f8b3a9dc1e3bbcd7fac6e30d8df7f935c,426026058.3577036,20
DAI,0xc603a00595d5f8ea8d93c5c338c00ff29dba6258,400734069.602385,21
DAI,0x73d69895458eb96e5447036653468e9508fc4a14,396824699.6299427,22
DAI,0x84d34f4f83a87596cd3fb6887cff8f17bf5a7b83,388088258.37161213,23
DAI,0x9d0a463d5dcb82008e86bf506eb048708a15dd84,367402061.35364825,24
DAI,0x6e649f47083756f9c59c04f95d79fc3e170ec577,350607975.9434494,25
DAI,0x3ab77e40340ab084c3e23be8e5a6f7afed9d41dc,334760990.04182935,26
DAI,0xb1256d6b31e4ae87da1d56e5890c66be7f1c038e,322379119.05666155,27
DAI,0x1282911d3600b202698997f61f46379db3b9f01e,298820330.5478015,28
DAI,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,278999971.52,29
DAI,0xf06b404e9c8ab8ae3e660e2e0af8c053363538b5,277000000.0,30
DAI,0xb92c9189ea700d514ad4bf878e49f1a11ab3d37f,268605874.6191242,31
DAI,0x3507e4978e0eb83315d20df86ca0b976c0e40ccb,226692037.96666247,32
DAI,0xc1e16013a158d57a60d6aa5bb3108722b0ac6df5,216449606.00610587,33
DAI,0x1111111254fb6c44bac0bed2854e76f90643097d,215371548.57705238,34
DAI,0xbaf9a5d4b0052359326a6cdab54babaa3a3a9643,195246358.49558556,35
DAI,0x474010701715658fc8004f51860c90eef4584d2b,193530375.25155637,36
DAI,0xe043558b77e2b4c262d7d6e579b005ceb7f4591c,185009896.41991878,37
DAI,0xf16d312d119c13dd27fd0dc814b0bcdcaaa62dfd,183270542.1300282,38
DAI,0x2c78b4b5e40f78f5bfa6fce0b277d2c59ccf8545,172204462.9327128,39
DAI,0x3790c9b5a9b9d9aa1c69140a5f01a57c9b868e1e,169280263.34819987,40
DAI,0x6cf9aa65ebad7028536e353393630e2340ca6049,160399397.71454608,41
DAI,0x9c4350f527ff7f96b650ee894ae9103bdfec0432,157511708.0732721,42
DAI,0xaea4f7dcd172997947809ce6f12018a6d5c1e8b6,137636425.70886996,43
DAI,0xc6a752948627becab5474a10821df73ff4771a49,135490955.19509774,44
DAI,0xced829cb73d21b34a0ad4687c3cd7d398172dbd8,124733984.71608187,45
DAI,0xc7c3ccce4fa25700fd5574da7e200ae28bbd36a3,120182064.62558879,46
DAI,0xbd7cd5d115b9097cdb8943514de75bde5314ad05,117968430.95001462,47
DAI,0x8f8dd7db1bda5ed3da8c9daf3bfa471c12d58486,115477655.90131733,48
DAI,0xeab6b79ca088be5db516ba98e8da6150a0be6526,114057801.07049727,49
DAI,0x18101ac1d35230f1a3c005e2abaaeb25cae79e7f,113031976.80612528,50
DAI,0x7569f9adabc99780b7a91b16666bb985177d1dca,108491078.29554796,51
DAI,0xdb6f1920a889355780af7570773609bd8cb1f498,107635147.08767505,52
DAI,0xc78248d676debb4597e88071d3d889eca70e5469,106524336.32637078,53
DAI,0x0cbbe3d340724c84e1265ed6a5a5e61849e82836,101989078.3724561,54
DAI,0x5ece4fcfefa69af3d89b553429fc2627251b36bf,100590726.1827943,55
DAI,0x5a52e96bacdabb82fd05763e25335261b270efcb,99227581.34676532,56
DAI,0xf89d7b9c864f589bbf53a82105107622b35eaa40,98607834.80419289,57
DAI,0x0f303ee26b55204c85c1d8948142469577d4652d,95822671.9834512,58
DAI,0xf28d4face9315ec0343d69e28b90712cb9aca453,91037172.24076188,59
DAI,0xadba5a1b2c1f3380c47e3de0f40e0fe5acf4afb0,89931180.57970102,60
DAI,0x4b91dac1229f41c4d322f5f0fea246f069fb81a3,81699468.31545182,61
DAI,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,76449935.25415118,62
DAI,0x12c62464d8cf4a9ca6f2eead1d7954a9fc21d053,74751027.13380654,63
DAI,0x1516a639e6cb3d0867c46ae62e996d165fcfcd8d,74336824.99556041,64
DAI,0x70897189b10b5f145e9cf3384146a4bba9914a72,72272051.33843796,65
DAI,0x0e6ddcf8f1bf0879bdd50fb314757fea7b71fa9e,71816666.51802117,66
DAI,0xb1c39233b2d0fb8ec5c39a75dec31ba6738c371d,67376781.97976506,67
DAI,0x1111111254eeb25477b68fb85ed929f73a960582,66154712.55683128,68
DAI,0x8845fe6d00fab41aaf0322ab2faa8051a319edef,65621540.16398865,69
DAI,0x8b2f098411ce4b32c9d2110fef257cf01d006ba5,63969205.46509067,70
DAI,0xe0caab61ee7a12d03b268e1f6a56537ac1b61d13,63535949.47464165,71
DAI,0x8b6ecea3e9bd6290c2150a89af6c69887aaf1870,62525348.0253063,72
DAI,0xe5859f4efc09027a9b718781dcb2c6910cac6e91,61698787.79574872,73
DAI,0xb18be485617859bfd0cd7813d6634e27c4a859fa,61206387.99218256,74
DAI,0x506884697f0bb3715b0ff07ab256bce1e705cf4b,61188904.858140826,75
DAI,0xe37e799d5077682fa0a244d46e5649f71457bd09,61147796.45489663,76
DAI,0x039df62583ddc1c5fda75db152b87113d863b6d6,60977507.000926875,77
DAI,0xcbb15fbe55261668dd54e3f1132fdf737aa5f1fa,57024053.82973052,78
DAI,0xf96da4775776ea43c42795b116c7a6eccd6e71b5,56619498.39040345,79
DAI,0x4b8138809f76d231e58fa3465b1f11c65619b518,56368689.90841249,80
DAI,0x8e23745c8a7f258e36a785ff9d4cc0cb56643437,54579492.78095274,81
DAI,0x7f9e3430880580713b03670046c7e89a0a91403b,53418218.139149085,82
DAI,0xa82f327bbbf0667356d2935c6532d164b06ceced,53134889.638235345,83
DAI,0x61e9dab5b1d3069f807a832eb9e9a5f8988b52bc,52587700.81770898,84
DAI,0x5162f992edf7101637446ecccd5943a9dcc63a8a,50578181.30796128,85
DAI,0x50b42514389f25e1f471c8f03f6f5954df0204b0,50460291.21031472,86
DAI,0x8abe8b18d29843601894c368070ac72beb1611c8,49806092.290334225,87
DAI,0xdf51111e26f427e76d43df7776f6fcff89084b96,49789351.603594124,88
DAI,0x2d0a931dd088ea108a73901f83065dca81ca474c,49454840.46692017,89
DAI,0x245e8bb5427822fb8fd6ce062d8dd853fbcfabf5,48831372.49137981,90
DAI,0x027fca5dce8baa10e93ca93d0f2150e7ca4d4107,48315312.7539838,91
DAI,0x06dbc4fe79e2541b03fe4731b2579c0b7f46f099,47965783.88903619,92
DAI,0x77ed25296855b88bd3c0b3bf429b816555525115,46078648.79674047,93
DAI,0xb4f120405b2bf5bad0434153e2f1c35f24f9245c,45813561.587748125,94
DAI,0x27ac6fee4ca43d781cb801bd0cc893e536cdc910,45723181.27963051,95
DAI,0x05ad60d9a2f1aa30ba0cdbaf1e0a0a145fbea16f,44774425.816051446,96
DAI,0x7a01ef1ca8552e86c3ed2ed209fd5a353fa79cbe,44773544.115092605,97
DAI,0xde8589960da34eefb00ca879d8cc12b11f52cb12,44236793.90519884,98
DAI,0xbc8d10ede48a9f35c41434047f0e2290cd7fc448,44225996.106321506,99
DAI,0x56c77d59e82f33c712f919d09fceddf49660a829,44048254.06835872,100
USDE,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,1218656766.520516,1
USDE,0x888888888889758f76e7103c6cbf23abbf58f946,514356586.1837402,2
USDE,0x5719acdb9abbbc6ba414c9dbff5b2967342f465d,514173953.0763871,3
USDE,0xf977814e90da44bfa03b6295a0616a897441acec,480166944.699,4
USDE,0xe2fc31f816a9b94326492132018c3aecc4a93ae1,251753895.8226176,5
USDE,0x0ad500d23a43ae9b26a570cfb02b68c48a866565,103454114.1517666,6
USDE,0xb66f376f3699c8e87c115de85575be49ae29a20c,100586473.88639465,7
USDE,0x2ee7a685bedf18bb2667e4cd7848595e92d68587,97480806.89742428,8
USDE,0x5a52e96bacdabb82fd05763e25335261b270efcb,67200000.0,9
USDE,0x0ddc8ce5f57914433bcccddf6e2f566cd53940ed,64442980.70275526,10
USDE,0x83a3302179ffb195296c6cf3421e1ea1bca38460,63490341.04470411,11
USDE,0xe0793475ed7583def4cc2274ac87085933973518,62050771.79322527,12
USDE,0xb467281dcb53c5dca66fa0fb3787b838254e7d2b,57681166.252377994,13
USDE,0x3f02ff0ed87da901229b66965e694f5ca4102d87,57028105.2,14
USDE,0xdc35157217a3aeff3dcaf2e86327254fbf9f4601,52879111.12666875,15
USDE,0x31a256e01900f93831361df928eb32f83a6af40e,42807704.39423891,16
USDE,0xfeb98c37e9df4afebe1ed0faf5b844ee4d8ccde4,41398684.978600286,17
USDE,0x1be45fef92c4e2538fecd150757ed62b7b3757d7,40530827.39140681,18
USDE,0x1510a8c2792e75aa5d8dc6159f0c2e56c8b178e8,38680738.9,19
USDE,0xd5a5dc9442466d3ed9a91c027d27efeaf7de67f8,37999996.52282991,20
USDE,0xd93814273b33dd33b32cd345225cfb65deb048dd,36718500.76189995,21
USDE,0xa1f3cdaec36bb391459277fab29d73a34626bb96,36503696.852956764,22
USDE,0xb9f3b7728114204b7b57a35259d7460f47de3e19,36245800.68008613,23
