month,symbol,token_volume,transfer_count,active_addresses,newly_adopted_addresses,genius_qualifying_transfer_volume,average_transfer_size,volume_per_active_address,transfers_per_active_address
2026-03-01,ETH,55350508.08752914,40247405,10132550,6510483,55350508.08752914,1.3752565684055689,5.462643469563845,3.9720904412018694
2026-04-01,ETH,44961324.67385404,40268356,9150004,4931111,44961324.67385404,1.1165423459019295,4.9138038271736315,4.400911300148065
2026-05-01,ETH,45562550.30581466,36075815,7769108,4790937,45562550.30581466,1.262966624754414,5.864579344992329,4.643495109091031
2026-06-01,ETH,55170859.45574868,37386811,7513036,4612123,55170859.45574868,1.4756770631158853,7.343350871172277,4.976258732155682
2025-03-01,USD1,215975837.3876,125,37,37,215975837.3876,1727806.6991008,5837184.79425946,3.3783783783783785
2025-04-01,USD1,7293415401.614998,120117,3312,3304,7293415401.322745,60719.26039880071,2202118.1768161226,36.26721014492754
2025-05-01,USD1,10901949839.886425,4705994,78586,77881,10901949839.521236,2316.609379340738,138726.3614369789,59.883363448960374
2025-06-01,USD1,43649595638.74321,25218178,2717665,2691593,43649595637.94781,1730.8782433825238,16061.433487476643,9.279354887375744
2025-07-01,USD1,33188897519.19104,25850065,1603135,1322659,33188897518.652607,1283.8999638357818,20702.496994445908,16.12469629819073
2025-08-01,USD1,19390940252.839645,13987891,799110,736355,19390940251.800423,1386.266182071366,24265.67087489788,17.504337325274367
2025-09-01,USD1,17570849944.665424,9007385,605020,468804,17570849943.384117,1950.7159895334903,29041.76712284788,14.887747512478926
2025-10-01,USD1,15394281057.055624,13502073,527210,445864,15394281051.620708,1140.142039790535,29199.52401710063,25.610426585231693
2025-11-01,USD1,11865980734.808605,12876566,267156,187414,11865980734.279243,921.517486438484,44415.92453401236,48.19867792600578
2025-12-01,USD1,14195262635.59118,10412014,170238,146067,14195262634.153103,1363.3541631958142,83384.80618658103,61.16151505539304
2026-01-01,USD1,27176453611.556396,30703787,443373,406974,27176453608.27613,885.1173182082109,61294.78703384373,69.25046631166083
2026-02-01,USD1,14639938013.395008,17296521,137707,109484,14639938012.298641,846.4094029255156,106312.22823382259,125.6037892046156
